title,genres,link
월드 인베이젼,영화·SF 미국 영화 액션 & 어드벤처,https://www.netflix.com/kr/title/70138789
분홍신,호러 영화,https://www.netflix.com/kr/title/70055455
트로이: 왕국의 몰락,TV 드라마·로맨스 도서 원작 TV 프로그램 TV 드라마 TV 프로그램·액션 & 어드벤처,https://www.netflix.com/kr/title/80175352
투건스,미국 영화 액션 & 어드벤처,https://www.netflix.com/kr/title/70270776
피어 스트리트 파트 3: 1666,LGBTQ 영화 미국 영화 청춘 영화 호러 영화,https://www.netflix.com/kr/title/81334750
여배우는 오늘도,코미디 인디 영화,https://www.netflix.com/kr/title/80992631
살인자 만들기,TV 프로그램·범죄 미국 TV 프로그램,https://www.netflix.com/kr/title/80000770
뉴니스,미국 영화 드라마 장르 영화 로맨스 영화 인디 영화,https://www.netflix.com/kr/title/80172958
사이보그 009: 콜 오브 저스티스,일본 소년 만화를 만나다 액션 애니메이션 애니메이션 시리즈,https://www.netflix.com/kr/title/80057749
동네사람들,스릴러 영화,https://www.netflix.com/kr/title/81388042
언더월드 4 : 어웨이크닝,미국 영화 액션 & 어드벤처 호러 영화,https://www.netflix.com/kr/title/70206135
트와일라잇: 브레이킹 던 part 2,미국 영화 청춘 영화 영화·도서 원작 드라마 장르 영화 로맨스 영화,https://www.netflix.com/kr/title/70206632
갈리시아의 상속자들,TV 프로그램·범죄 도서 원작 TV 프로그램 TV 프로그램·스릴러 TV 드라마,https://www.netflix.com/kr/title/80241001
다섯이 돌아왔다: 할리우드와 2차대전 이야기,다큐멘터리·역사 도서 원작 TV 프로그램 미국 TV 프로그램,https://www.netflix.com/kr/title/80049928
트랜스포터: 엑스트림,무술 영화 미국 영화 액션 & 어드벤처,https://www.netflix.com/kr/title/70038123
퀵샌드: 나의 다정한 마야,TV 프로그램·범죄 도서 원작 TV 프로그램 TV 프로그램·10대 TV 드라마,https://www.netflix.com/kr/title/80211703
하늘을 걷는 남자,실화 바탕 영화 미국 영화 영화·도서 원작 스릴러 영화,https://www.netflix.com/kr/title/80048473
시스터즈,미국 영화 코미디,https://www.netflix.com/kr/title/80063604
격투맨 바키,일본 소년 만화를 만나다 액션 애니메이션 애니메이션 시리즈,https://www.netflix.com/kr/title/80204451
바자르의 불꽃,시대물 TV 드라마,https://www.netflix.com/kr/title/80213020
"다만, 널 사랑하고 있어",영화·도서 원작 드라마 장르 영화 로맨스 영화,https://www.netflix.com/kr/title/80127826
취권,무술 영화 액션 & 어드벤처 코미디,https://www.netflix.com/kr/title/60000221
H(아체),TV 프로그램·범죄 TV 프로그램·스릴러 TV 드라마,https://www.netflix.com/kr/title/80241387
힐빌리의 노래,실화 바탕 영화 미국 영화 영화·도서 원작 드라마 장르 영화,https://www.netflix.com/kr/title/81071970
투 핫!,리얼리티 TV 미국 TV 프로그램,https://www.netflix.com/kr/title/80241027
카멜롯의 전설,미국 영화 시대물 드라마 장르 영화 로맨스 영화,https://www.netflix.com/kr/title/505789
벼랑 위의 포뇨,가족 영화 애니메이션 영화 영화·어린이 & 가족,https://www.netflix.com/kr/title/70106454
적벽대전,실화 바탕 영화 시대물 영화·도서 원작 액션 & 어드벤처,https://www.netflix.com/kr/title/70130851
사인펠드와 함께 커피 드라이브,TV 프로그램·코미디 미국 TV 프로그램,https://www.netflix.com/kr/title/80171362
보스 베이비: 우리 아기를 찾아라!,TV 프로그램·키즈 TV 만화 가족 영화 도서 원작 TV 프로그램 미국 영화 영화·도서 원작 TV 프로그램·코미디 코미디 영화·어린이 & 가족,https://www.netflix.com/kr/title/81054409
더 서클: 미국,리얼리티 TV 미국 TV 프로그램,https://www.netflix.com/kr/title/81044551
잭 화이트홀: 아버지와 발칙한 세상 산책,TV 프로그램·코미디,https://www.netflix.com/kr/title/80186848
로마 제국,다큐멘터리·역사 미국 TV 프로그램,https://www.netflix.com/kr/title/80096545
인랑,영화·SF 액션 & 어드벤처,https://www.netflix.com/kr/title/80239666
파이널 판타지 XIV: 빛의 아버지,도서 원작 TV 프로그램 TV 드라마,https://www.netflix.com/kr/title/80178543
블러드 브러더스: 맬컴 엑스 & 무하마드 알리,다큐멘터리 영화 다큐멘터리·역사 실존 인물 다큐멘터리 미국 영화,https://www.netflix.com/kr/title/81031582
오스만 제국의 꿈,다큐멘터리·역사 미국 TV 프로그램,https://www.netflix.com/kr/title/80990771
마음의 소리 스페셜1 -효! 크러쉬,코미디,https://www.netflix.com/kr/title/81349945
더 스웜,호러 영화 인디 영화,https://www.netflix.com/kr/title/81222576
에반게리온: 데스(트루)²,영화·SF 액션 애니메이션 애니메이션 영화 액션 & 어드벤처,https://www.netflix.com/kr/title/81033473
고지전,드라마 장르 영화,https://www.netflix.com/kr/title/70225013
공공의 적,액션 & 어드벤처,https://www.netflix.com/kr/title/70009319
나의 소녀시대,로맨틱 코미디 로맨스 영화 코미디,https://www.netflix.com/kr/title/80091937
오픈 유어 아이즈,TV 프로그램·미스터리 도서 원작 TV 프로그램 TV 프로그램·10대 TV 프로그램·스릴러 TV 드라마,https://www.netflix.com/kr/title/81135995
이지,TV 드라마 TV 프로그램·코미디 미국 TV 프로그램,https://www.netflix.com/kr/title/80095699
스테이트리스,TV 드라마,https://www.netflix.com/kr/title/81206211
세 얼간이,영화·도서 원작 힌디어 영화 발리우드 영화 코미디,https://www.netflix.com/kr/title/70121522
버려진 자들의 땅,미국 영화 스릴러 영화 인디 영화,https://www.netflix.com/kr/title/80099204
1983,TV 프로그램·미스터리 TV 프로그램·스릴러 TV 드라마,https://www.netflix.com/kr/title/80205593
블랙 미러: 밴더스내치,영화·SF TV 드라마,https://www.netflix.com/kr/title/80988062
시큐리티,미국 영화 액션 & 어드벤처,https://www.netflix.com/kr/title/80161921
퀴어 아이,리얼리티 TV 미국 TV 프로그램,https://www.netflix.com/kr/title/80160037
나를 믿어줘: 리사 맥베이 납치 사건,실화 바탕 영화 미국 영화 드라마 장르 영화,https://www.netflix.com/kr/title/81447496
두 교황,실화 바탕 영화 미국 영화 드라마 장르 영화,https://www.netflix.com/kr/title/80174451
배드 사마리안,미국 영화 스릴러 영화 인디 영화,https://www.netflix.com/kr/title/80243042
고블린 슬레이어,도서 원작 TV 프로그램 액션 애니메이션 애니메이션 시리즈,https://www.netflix.com/kr/title/81021570
Q-포스,TV 프로그램·범죄 TV 프로그램·코미디 미국 TV 프로그램 TV 프로그램·액션 & 어드벤처,https://www.netflix.com/kr/title/81039557
사이코지만 괜찮아,TV 드라마·로맨스 한국 드라마 TV 드라마 TV 프로그램·코미디,https://www.netflix.com/kr/title/81243992
워터십 다운의 열한 마리 토끼,도서 원작 TV 프로그램 TV 드라마 TV 프로그램·액션 & 어드벤처,https://www.netflix.com/kr/title/80107989
청춘 돼지는 바니걸 선배의 꿈을 꾸지 않는다,TV 프로그램·10대 일본 스쿨 애니메이션 애니메이션 시리즈,https://www.netflix.com/kr/title/81228009
쇼핑몰 캅 2,미국 영화 액션 & 어드벤처 코미디,https://www.netflix.com/kr/title/80021687
이리지스터블,미국 영화 코미디,https://www.netflix.com/kr/title/81249604
올 마이 라이프,실화 바탕 영화 미국 영화 드라마 장르 영화 로맨스 영화,https://www.netflix.com/kr/title/81463701
세인트 세이야: 12궁의 기사단,일본 소년 만화를 만나다 액션 애니메이션 애니메이션 시리즈,https://www.netflix.com/kr/title/80186926
네트,미국 영화 스릴러 영화,https://www.netflix.com/kr/title/797261
프랑켄슈타인: 불멸의 영웅,영화·SF 미국 영화 액션 & 어드벤처 호러 영화,https://www.netflix.com/kr/title/70242805
영 월랜더,TV 프로그램·미스터리 TV 프로그램·범죄 도서 원작 TV 프로그램 TV 프로그램·스릴러 TV 드라마,https://www.netflix.com/kr/title/81011098
미다스의 노예들,TV 프로그램·범죄 도서 원작 TV 프로그램 TV 프로그램·스릴러,https://www.netflix.com/kr/title/81051782
머더 미스터리,미스터리 미국 영화 코미디,https://www.netflix.com/kr/title/80242619
비기: 할 말이 있어,다큐멘터리 영화 실존 인물 다큐멘터리 미국 영화 음악 & 뮤지컬,https://www.netflix.com/kr/title/80202829
파도가 지나간 자리,미국 영화 영화·도서 원작 드라마 장르 영화 로맨스 영화,https://www.netflix.com/kr/title/80101970
유랑지구,영화·SF 영화·도서 원작,https://www.netflix.com/kr/title/81067760
앵그리버드 더 무비,가족 영화 미국 영화 코미디 영화·어린이 & 가족,https://www.netflix.com/kr/title/80091938
트랜스포머 프라임,TV 프로그램·키즈 TV 만화,https://www.netflix.com/kr/title/70234439
킹덤: 아신전,한국 드라마 시대물 TV 프로그램·스릴러 TV 드라마 TV 프로그램·호러 스릴러 영화 호러 영화,https://www.netflix.com/kr/title/81312457
리타,TV 드라마 TV 프로그램·코미디,https://www.netflix.com/kr/title/70285368
